                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4609,                 2.1999,                 1.5508,                0.59765,                0.40546,                 0.4342,                0.24501,                 1.4205,                 2.3754,                 1.3995,             0.00065833,             0.00065833,             0.00065833
                      1,                 1.5626,                  1.919,                 1.6435,                0.63944,                0.45602,                0.47298,                0.25255,                  1.726,                 2.6295,                 1.6955,              0.0013198,              0.0013198,              0.0013198
                      2,                 1.6037,                 1.8109,                 1.6577,                0.60761,                0.53025,                0.53417,                0.26791,                 1.7206,                 3.5067,                 1.7401,              0.0019759,              0.0019759,              0.0019759
                      3,                 1.6369,                 1.7234,                 1.6901,                0.51036,                0.47152,                0.44377,                 0.2341,                  1.688,                 1.9153,                 1.6473,              0.0019762,              0.0019762,              0.0019762
                      4,                 1.6073,                  1.674,                  1.658,                0.79352,                0.62993,                0.71759,                0.41029,                 1.4676,                 2.0524,                 1.4683,              0.0019762,              0.0019762,              0.0019762
                      5,                 1.5589,                 1.5832,                 1.6231,                0.71246,                0.55308,                0.65634,                0.35622,                 1.5775,                 1.5081,                 1.5112,              0.0019683,              0.0019683,              0.0019683
                      6,                 1.5235,                  1.547,                 1.5971,                0.72685,                 0.7112,                 0.7229,                0.41306,                 1.6162,                 1.9835,                 1.5947,              0.0019604,              0.0019604,              0.0019604
                      7,                  1.498,                 1.5161,                 1.5858,                0.47233,                0.49579,                0.45432,                0.24094,                 1.6156,                 1.9802,                 1.6315,              0.0019525,              0.0019525,              0.0019525
                      8,                 1.5157,                 1.4898,                 1.6004,                0.80022,                0.63858,                0.73098,                0.40919,                 1.4913,                 2.2709,                 1.5029,              0.0019446,              0.0019446,              0.0019446
                      9,                 1.4743,                 1.4345,                 1.5373,                0.80182,                0.67365,                0.73737,                0.42945,                 1.5126,                 1.3558,                 1.4943,              0.0019366,              0.0019366,              0.0019366
                     10,                 1.4899,                 1.4668,                 1.5829,                 0.7878,                0.70913,                0.76793,                0.45149,                 1.5554,                 1.6173,                 1.5314,              0.0019287,              0.0019287,              0.0019287
                     11,                 1.4686,                 1.4259,                 1.5646,                0.85613,                0.67389,                0.77737,                0.46245,                 1.4221,                 1.3595,                 1.4272,              0.0019208,              0.0019208,              0.0019208
                     12,                 1.3922,                 1.3406,                 1.5099,                0.83805,                0.69666,                0.76396,                0.47187,                 1.3482,                 1.3192,                 1.4082,              0.0019129,              0.0019129,              0.0019129
                     13,                 1.4373,                 1.3931,                 1.5364,                0.75356,                0.63768,                0.73615,                0.43364,                  1.483,                 1.3488,                  1.476,               0.001905,               0.001905,               0.001905
                     14,                 1.3919,                 1.3745,                   1.52,                0.74679,                0.62319,                0.70269,                0.43148,                 1.3348,                 1.3265,                 1.3802,               0.001897,               0.001897,               0.001897
                     15,                 1.4022,                 1.3284,                 1.5131,                0.77807,                0.64847,                0.69519,                0.39836,                 1.4558,                 2.2489,                 1.4619,              0.0018891,              0.0018891,              0.0018891
                     16,                 1.3855,                 1.3276,                 1.5125,                0.84246,                 0.6852,                0.77641,                0.44164,                 1.4762,                 1.5661,                  1.464,              0.0018812,              0.0018812,              0.0018812
                     17,                 1.3849,                 1.3161,                 1.5025,                0.76409,                0.67813,                0.74249,                 0.4305,                 1.5254,                 1.2628,                 1.4993,              0.0018733,              0.0018733,              0.0018733
                     18,                  1.376,                 1.3001,                 1.5048,                0.75935,                0.55544,                0.68488,                0.41525,                 1.4236,                 1.4596,                 1.4079,              0.0018654,              0.0018654,              0.0018654
                     19,                 1.4128,                 1.3242,                 1.5186,                0.82804,                0.63297,                0.73656,                0.44319,                 1.4528,                 1.2646,                 1.4627,              0.0018574,              0.0018574,              0.0018574
                     20,                 1.3665,                  1.276,                 1.4942,                 0.7681,                0.68824,                0.75119,                0.45353,                 1.3895,                 1.2625,                 1.4183,              0.0018495,              0.0018495,              0.0018495
                     21,                 1.3732,                 1.2797,                 1.4969,                0.81807,                0.66836,                0.75902,                0.47214,                  1.358,                  1.447,                 1.3903,              0.0018416,              0.0018416,              0.0018416
                     22,                   1.34,                 1.2478,                 1.4965,                0.79161,                0.64981,                0.74378,                0.44259,                 1.4029,                 1.3871,                  1.459,              0.0018337,              0.0018337,              0.0018337
                     23,                 1.3185,                 1.2324,                  1.481,                0.79347,                0.70443,                0.78453,                0.46843,                 1.4359,                 1.4521,                   1.43,              0.0018258,              0.0018258,              0.0018258
                     24,                 1.3197,                 1.2272,                 1.4604,                0.83806,                0.56454,                 0.6739,                0.40837,                 1.3723,                 1.5353,                 1.4327,              0.0018178,              0.0018178,              0.0018178
                     25,                  1.336,                 1.2244,                 1.4821,                0.86886,                0.65652,                0.74921,                0.45609,                 1.4243,                 1.2843,                 1.4211,              0.0018099,              0.0018099,              0.0018099
                     26,                 1.3398,                 1.2305,                 1.4728,                0.80282,                0.63948,                0.73342,                0.45541,                 1.3633,                 1.2833,                 1.3937,               0.001802,               0.001802,               0.001802
                     27,                 1.3216,                 1.2155,                 1.4724,                0.80157,                0.65083,                0.74255,                0.44525,                 1.3883,                 1.2621,                 1.4227,              0.0017941,              0.0017941,              0.0017941
                     28,                 1.3121,                 1.2144,                 1.4528,                0.81008,                 0.6542,                0.77688,                0.46366,                 1.4192,                 1.4791,                 1.4556,              0.0017862,              0.0017862,              0.0017862
                     29,                 1.3068,                 1.1882,                 1.4638,                0.87755,                0.70475,                 0.8057,                0.49762,                 1.3392,                  1.233,                 1.3902,              0.0017782,              0.0017782,              0.0017782
                     30,                 1.2996,                 1.1813,                  1.442,                0.80894,                0.55241,                0.69418,                0.43477,                 1.3634,                 1.4487,                 1.4089,              0.0017703,              0.0017703,              0.0017703
                     31,                 1.3151,                 1.1655,                  1.454,                0.85027,                0.63351,                0.71912,                 0.4494,                 1.3565,                 1.4029,                 1.3605,              0.0017624,              0.0017624,              0.0017624
                     32,                 1.2828,                 1.1603,                 1.4493,                0.83421,                0.65461,                0.74928,                0.46742,                 1.3485,                 1.3138,                  1.403,              0.0017545,              0.0017545,              0.0017545
                     33,                 1.2828,                 1.1305,                 1.4264,                0.89295,                0.61914,                0.74521,                0.46835,                   1.34,                 1.2264,                 1.3573,              0.0017466,              0.0017466,              0.0017466
                     34,                 1.2585,                 1.1262,                 1.4203,                0.82199,                0.64121,                0.72109,                0.44954,                 1.3354,                 1.3543,                 1.3548,              0.0017386,              0.0017386,              0.0017386
                     35,                 1.2659,                 1.1258,                 1.4223,                0.74174,                0.70442,                0.73824,                0.45129,                 1.3837,                 1.2315,                 1.4169,              0.0017307,              0.0017307,              0.0017307
                     36,                 1.3035,                 1.1642,                 1.4543,                0.81205,                0.68005,                0.75151,                0.44883,                 1.4092,                 1.2952,                 1.4376,              0.0017228,              0.0017228,              0.0017228
                     37,                 1.2458,                 1.1174,                 1.4115,                0.74459,                0.66027,                0.73428,                0.44621,                 1.3511,                 1.2578,                 1.4153,              0.0017149,              0.0017149,              0.0017149
                     38,                 1.2805,                 1.1246,                 1.4338,                0.85664,                 0.6451,                 0.7414,                0.44591,                 1.3808,                 1.3076,                 1.4251,               0.001707,               0.001707,               0.001707
                     39,                 1.2797,                 1.1422,                 1.4325,                0.74908,                 0.6188,                0.72508,                0.44551,                 1.3619,                   1.32,                 1.3595,               0.001699,               0.001699,               0.001699
                     40,                  1.262,                 1.0804,                 1.4222,                0.86116,                 0.5851,                0.70975,                0.43544,                 1.4091,                 1.4446,                 1.4167,              0.0016911,              0.0016911,              0.0016911
                     41,                 1.2537,                 1.1019,                 1.4199,                0.85143,                0.69532,                0.77957,                0.46556,                 1.4274,                 1.1793,                 1.4236,              0.0016832,              0.0016832,              0.0016832
                     42,                 1.2734,                 1.1081,                 1.4259,                0.79072,                0.65199,                0.72475,                 0.4351,                 1.3502,                 1.2869,                 1.3813,              0.0016753,              0.0016753,              0.0016753
                     43,                 1.2398,                 1.0809,                 1.4095,                 0.8281,                0.66195,                0.77775,                0.48682,                 1.3328,                 1.1299,                 1.3591,              0.0016674,              0.0016674,              0.0016674
                     44,                 1.2617,                 1.1087,                 1.4139,                0.87334,                0.67859,                0.77933,                0.48262,                 1.3267,                 1.1243,                 1.3653,              0.0016594,              0.0016594,              0.0016594
                     45,                 1.2423,                 1.0749,                 1.3978,                0.89942,                0.72632,                0.80424,                0.48721,                  1.379,                 1.0997,                 1.4126,              0.0016515,              0.0016515,              0.0016515
                     46,                 1.2545,                 1.1186,                 1.4149,                0.88671,                0.69379,                0.78917,                0.47095,                 1.4167,                 1.2026,                 1.4262,              0.0016436,              0.0016436,              0.0016436
                     47,                 1.2628,                 1.1013,                 1.4288,                0.76575,                  0.667,                0.71836,                0.44303,                 1.3267,                 1.3002,                 1.3619,              0.0016357,              0.0016357,              0.0016357
                     48,                 1.2393,                 1.0692,                 1.4072,                0.73888,                0.69464,                0.73504,                0.43936,                 1.4025,                 1.3529,                 1.4106,              0.0016278,              0.0016278,              0.0016278
                     49,                 1.2069,                 1.0466,                 1.3905,                0.86926,                0.70475,                0.77282,                 0.4667,                 1.3798,                 1.1754,                 1.4239,              0.0016198,              0.0016198,              0.0016198
                     50,                 1.2166,                 1.0596,                 1.3968,                0.86626,                0.70953,                0.78943,                0.50434,                 1.3145,                 1.1062,                 1.3376,              0.0016119,              0.0016119,              0.0016119
                     51,                 1.2161,                 1.0431,                 1.3934,                0.86301,                0.59452,                0.71739,                0.44683,                 1.3267,                 1.2585,                  1.378,               0.001604,               0.001604,               0.001604
                     52,                   1.22,                  1.051,                 1.3931,                0.86508,                0.72194,                0.78784,                0.47879,                 1.3627,                 1.0986,                 1.3889,              0.0015961,              0.0015961,              0.0015961
                     53,                 1.2512,                 1.0766,                 1.4089,                0.83268,                 0.6815,                0.77032,                0.47465,                 1.3405,                 1.1292,                 1.3758,              0.0015882,              0.0015882,              0.0015882
                     54,                 1.2017,                 1.0484,                 1.3908,                0.80789,                0.68824,                0.77823,                0.46366,                 1.4473,                 1.1323,                 1.4765,              0.0015802,              0.0015802,              0.0015802
                     55,                   1.19,                 1.0182,                 1.3758,                0.82076,                 0.6879,                0.75707,                0.46119,                 1.3627,                 1.1501,                 1.4081,              0.0015723,              0.0015723,              0.0015723
                     56,                 1.2091,                 1.0244,                 1.3778,                0.80435,                0.69559,                0.77018,                0.45958,                 1.3937,                 1.1569,                 1.4152,              0.0015644,              0.0015644,              0.0015644
                     57,                 1.2418,                 1.0528,                 1.4116,                0.89348,                0.59521,                0.73643,                0.45968,                 1.3052,                 1.1985,                 1.3725,              0.0015565,              0.0015565,              0.0015565
                     58,                 1.2122,                 1.0109,                 1.3719,                0.81492,                0.64914,                0.73886,                0.44174,                 1.4011,                 1.2443,                  1.411,              0.0015486,              0.0015486,              0.0015486
                     59,                 1.1935,                  1.004,                 1.3695,                0.87308,                0.65251,                0.75559,                0.45053,                 1.4158,                 1.3018,                 1.4518,              0.0015406,              0.0015406,              0.0015406
                     60,                 1.2135,                 1.0222,                 1.3978,                0.83563,                0.67307,                0.76175,                0.48373,                 1.2719,                 1.1317,                 1.3307,              0.0015327,              0.0015327,              0.0015327
                     61,                 1.2224,                 1.0381,                 1.3943,                0.81766,                0.66954,                0.75549,                 0.4579,                 1.3614,                 1.1949,                 1.3859,              0.0015248,              0.0015248,              0.0015248
                     62,                 1.1932,                 1.0045,                 1.3822,                0.81798,                0.71891,                0.78534,                0.45966,                 1.4407,                  1.152,                 1.4841,              0.0015169,              0.0015169,              0.0015169
                     63,                 1.2037,                 1.0231,                 1.3873,                0.81068,                 0.6841,                0.75995,                0.45699,                 1.3869,                  1.167,                 1.4212,               0.001509,               0.001509,               0.001509
                     64,                 1.1797,                 0.9864,                 1.3658,                0.83263,                0.60431,                0.72044,                 0.4303,                 1.4162,                 1.2585,                 1.4303,               0.001501,               0.001501,               0.001501
                     65,                 1.1892,                0.98824,                 1.3782,                 0.8353,                0.60667,                 0.6983,                0.43314,                 1.3251,                 1.2778,                 1.3775,              0.0014931,              0.0014931,              0.0014931
                     66,                 1.2039,                 1.0235,                 1.3924,                0.88393,                0.62588,                0.74748,                0.45818,                 1.3376,                  1.173,                  1.346,              0.0014852,              0.0014852,              0.0014852
                     67,                 1.1904,                0.99343,                 1.3748,                 0.8041,                0.63903,                0.73893,                0.44389,                 1.4008,                 1.2652,                 1.4135,              0.0014773,              0.0014773,              0.0014773
                     68,                 1.1807,                 1.0104,                 1.3584,                0.83683,                0.64274,                0.76556,                0.46889,                 1.3326,                   1.19,                 1.3507,              0.0014694,              0.0014694,              0.0014694
                     69,                 1.1734,                0.98165,                 1.3616,                 0.8204,                0.59454,                 0.6926,                0.41935,                 1.3794,                 1.3898,                 1.4127,              0.0014614,              0.0014614,              0.0014614
                     70,                 1.1655,                0.98784,                 1.3543,                0.80208,                0.64206,                0.74744,                0.44879,                  1.376,                 1.1953,                 1.3934,              0.0014535,              0.0014535,              0.0014535
                     71,                 1.1822,                0.96965,                 1.3651,                0.90563,                0.60807,                0.72062,                0.45618,                 1.3471,                 1.2907,                 1.3916,              0.0014456,              0.0014456,              0.0014456
                     72,                  1.178,                0.99273,                 1.3732,                0.85891,                0.60735,                0.72675,                0.44078,                 1.3647,                 1.2396,                  1.399,              0.0014377,              0.0014377,              0.0014377
                     73,                 1.1842,                0.98587,                 1.3612,                0.82221,                0.66244,                0.73899,                0.45194,                 1.3617,                 1.2637,                 1.3998,              0.0014298,              0.0014298,              0.0014298
                     74,                 1.1714,                0.96295,                 1.3588,                0.78993,                0.68116,                0.72848,                0.45774,                 1.2763,                 1.2217,                 1.3585,              0.0014218,              0.0014218,              0.0014218
                     75,                 1.1759,                0.97417,                 1.3599,                0.82381,                0.68015,                0.75392,                0.47043,                 1.2865,                 1.1814,                 1.3613,              0.0014139,              0.0014139,              0.0014139
                     76,                  1.152,                0.94389,                 1.3418,                0.79071,                0.62905,                0.69903,                0.43682,                 1.3433,                 1.3261,                 1.4002,               0.001406,               0.001406,               0.001406
                     77,                 1.1581,                0.94852,                  1.345,                0.84578,                0.67282,                0.78163,                 0.4798,                  1.317,                 1.1971,                 1.3679,              0.0013981,              0.0013981,              0.0013981
                     78,                   1.15,                 0.9525,                 1.3493,                0.84081,                0.61577,                0.73015,                0.44496,                 1.3598,                 1.3373,                 1.4017,              0.0013902,              0.0013902,              0.0013902
                     79,                 1.1608,                0.95967,                 1.3492,                0.82922,                0.61914,                0.71767,                0.44141,                 1.3188,                  1.293,                 1.3841,              0.0013822,              0.0013822,              0.0013822
                     80,                 1.1543,                0.98094,                 1.3522,                 0.7938,                0.65914,                0.75693,                0.45505,                 1.3903,                 1.1893,                 1.4159,              0.0013743,              0.0013743,              0.0013743
                     81,                 1.1375,                0.91811,                 1.3267,                0.83619,                0.66296,                0.76066,                0.45766,                 1.4153,                 1.1664,                 1.4494,              0.0013664,              0.0013664,              0.0013664
                     82,                 1.1657,                  0.962,                 1.3542,                0.80828,                0.62858,                 0.6959,                0.42817,                 1.3787,                 1.3518,                 1.4444,              0.0013585,              0.0013585,              0.0013585
                     83,                 1.1306,                0.89902,                 1.3141,                0.88152,                0.57465,                0.71668,                0.44035,                 1.3787,                 1.2514,                 1.3948,              0.0013506,              0.0013506,              0.0013506
                     84,                 1.1449,                0.94024,                 1.3334,                0.82882,                0.64746,                0.76166,                0.44839,                  1.415,                  1.159,                 1.4216,              0.0013426,              0.0013426,              0.0013426
                     85,                 1.1393,                0.94536,                 1.3328,                0.86618,                0.62612,                0.73356,                0.46211,                 1.3243,                 1.2511,                 1.3715,              0.0013347,              0.0013347,              0.0013347
                     86,                 1.1322,                0.92508,                 1.3334,                0.83424,                0.60768,                0.70524,                0.43047,                 1.4048,                  1.315,                  1.422,              0.0013268,              0.0013268,              0.0013268
                     87,                 1.1402,                 0.9261,                 1.3348,                0.78564,                0.64975,                0.74218,                 0.4398,                 1.4084,                 1.2038,                 1.4488,              0.0013189,              0.0013189,              0.0013189
                     88,                 1.1313,                0.89633,                  1.325,                0.85405,                0.58679,                0.71721,                0.42392,                 1.4197,                 1.2432,                 1.4746,               0.001311,               0.001311,               0.001311
                     89,                 1.1479,                0.94944,                 1.3459,                 0.8221,                0.67595,                0.74697,                0.44956,                 1.4083,                 1.1881,                 1.4235,               0.001303,               0.001303,               0.001303
                     90,                 1.1699,                0.95235,                 1.3568,                0.81839,                0.64779,                 0.7231,                0.43815,                 1.3902,                 1.2644,                 1.3872,              0.0012951,              0.0012951,              0.0012951
                     91,                 1.1291,                0.92865,                  1.338,                0.81017,                0.63532,                0.69799,                0.43766,                 1.3201,                 1.3142,                  1.365,              0.0012872,              0.0012872,              0.0012872
                     92,                 1.1438,                0.94583,                 1.3391,                0.79888,                0.68082,                0.75244,                 0.4627,                 1.3824,                 1.2267,                 1.3955,              0.0012793,              0.0012793,              0.0012793
                     93,                 1.1103,                 0.8753,                 1.3058,                0.86658,                0.63027,                0.71522,                0.44202,                  1.341,                 1.2503,                 1.3557,              0.0012714,              0.0012714,              0.0012714
                     94,                 1.1157,                0.92276,                  1.328,                0.85708,                0.61577,                0.71963,                0.43447,                 1.3939,                 1.2778,                   1.39,              0.0012634,              0.0012634,              0.0012634
                     95,                 1.1335,                0.89435,                 1.3282,                0.81814,                0.67644,                0.76396,                0.46072,                 1.3877,                 1.1407,                 1.4148,              0.0012555,              0.0012555,              0.0012555
                     96,                 1.1146,                 0.8733,                 1.3101,                0.79909,                 0.6488,                0.70677,                0.43627,                 1.3148,                 1.2983,                 1.3606,              0.0012476,              0.0012476,              0.0012476
                     97,                 1.1021,                0.89241,                 1.3048,                0.80203,                0.64451,                0.71133,                0.44386,                 1.3183,                  1.347,                 1.3636,              0.0012397,              0.0012397,              0.0012397
                     98,                 1.1238,                0.90263,                 1.3193,                0.86393,                0.65858,                0.75407,                0.47982,                 1.2665,                 1.1531,                 1.3267,              0.0012318,              0.0012318,              0.0012318
                     99,                 1.1177,                0.91828,                 1.3303,                0.73145,                0.67206,                0.74186,                0.44451,                 1.3761,                  1.194,                 1.4049,              0.0012238,              0.0012238,              0.0012238
                    100,                  1.119,                0.91891,                  1.318,                 0.7822,                0.69358,                0.75989,                0.47422,                 1.2902,                 1.1697,                 1.3271,              0.0012159,              0.0012159,              0.0012159
